source_file,team_code,tournament_name,round_number,side,opponent,win_loss,judge,num_positions,num_adv_inh_solv,num_offs,num_cards_total,num_cards_with_highlight,total_highlighted_words,parse_confidence,warnings,tournament_source,num_offs_x_num_cards_total,num_offs_x_total_highlighted_words,num_cards_total_x_num_cards_with_highlight,num_positions_x_num_cards_total,num_adv_inh_solv_x_num_cards_total,dataset_split
MichiganState-GeSh-Aff-Gonzaga-University-Jesuit-Debates-Round-2.docx,Michigan State GS,Gonzaga,2,aff,Emory RY _ ONLINE,W,"Young Ella - ONLINE, Maeve Gearring Arielle",0,0,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Trinity-CrKh-Neg-01-----Gonzaga-Round-5.docx,Trinity CK,Gonzaga,5,neg,Navy CR - ONLINE,W,"Connor Cooper, Deven Crowley Leo",0,0,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Kansas-OwWi-Aff-3---Gonzaga-Round-7.docx,Kansas OW,Gonzaga,7,aff,UC Berkeley RM,W,"Reichel Malsin - ONLINE, Mikaela Willingham Zach",9,9,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Michigan-ShSh-Aff-Gonzaga-Round-7.docx,Michigan SS,Gonzaga,7,aff,Stanford LY - ONLINE,W,"Yan Katz - ONLINE, Will Shih Conner",12,12,0,73,73,5848,high,,Gonzaga,0,0,5329,876,876,train
Georgetown-AgCo-Neg-04---Gonzaga-Round-5.docx,Georgetown AC,Gonzaga,5,neg,Michigan CS,W,"Saudek Stannard, Matt Cowan Connelly",6,0,6,1,1,34,high,,Gonzaga,6,204,1,6,0,train
Kansas-AiUl-Aff-1.-Northwestern-Round-8.docx,Kansas AU,Northwestern,8,aff,Binghamton CK,L,"King Puerto, Dimarvin Ain Claire",7,7,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Purdue-HaHa-Aff-1---Gonzaga-Round-6.docx,Purdue HH,Gonzaga,6,aff,UTD HH,L,"Hoch Huffman - ONLINE, Maile Hawksworth Riley",3,3,0,1,1,141,high,,Gonzaga,0,0,1,3,3,train
WakeForest-HaNa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-6.docx,Wake Forest HN,Northwestern,6,neg,Gonzaga WR - ONLINE,L,"Roe Sendejas - ONLINE, Adrian Hale Destiny",0,0,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Michigan-JoGa-Neg-0---northwestern-Round-8.docx,Michigan GJ,Northwestern,8,neg,Wyoming CH,L,"Hawley Prabhakar, Tanya Garvey Alexis",3,0,3,10,10,1067,high,,Northwestern,30,3201,100,30,0,train
Wyoming-CaHa-Aff-Gonzaga-Round-1.docx,Wyoming CH,Gonzaga,1,aff,Northwestern AT,L,"Tahirkheli Bricker, Brett Campbell Jaden",4,4,0,2,2,513,high,,Gonzaga,0,0,4,8,8,train
Northwestern-ArTa-Aff-3.-Gonzaga-Round-8.docx,Northwestern AT,Gonzaga,8,aff,Michigan AO,W,"Ou Vergho, Tyler Arney Buck",9,9,0,1,1,197,high,,Gonzaga,0,0,1,9,9,train
Baylor-LoLi-Aff-Northwestern-Round-2.docx,Baylor LL,Northwestern,2,aff,Emory PS,W,"Stearns Robinson, Tajaih LoCicero Isabella",0,0,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Wyoming-WiWi-Aff-4.-Gonzaga-Round-5.docx,Wyoming WW,Gonzaga,5,aff,Dartmouth JR - ONLINE,L,"Rao Dal Pra - ONLINE, Sophia Willson Jean-Luc",0,0,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
KansasState-DaRa-Aff-1---Northwestern-Round-5.docx,Kansas State DR,Northwestern,5,aff,Dartmouth GM,W,"Morley Blenden, Cade Day Taryn",2,2,0,1,1,307,high,,Northwestern,0,0,1,2,2,train
Harvard-AoBo-Neg-1.-Northwestern-Round-5.docx,Harvard AB,Northwestern,5,neg,Stanford LL - ONLINE,W,"Lai Symonds - ONLINE, Adam Aoki Seiji",0,0,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
DartmouthCollege-PaHa-Neg-01----northwestern-Round-1.docx,Dartmouth HP,Northwestern,1,neg,Western Kentucky CF,L,"Fournier McIntosh, Valerie Park Ethan",5,0,5,2,2,1221,high,,Northwestern,10,6105,4,10,0,train
Emory-GrCh-Neg-1---Owen-L.-Coon-Memorial-Debates-Round-6.docx,Emory CG,Northwestern,6,neg,Dartmouth GM,L,"Morley Namakula, Subbi Chen Jason",10,0,10,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Emory-GaSo-Aff-1.-Northwestern-Round-1.docx,Emory GS,Northwestern,1,aff,Kansas State DR,W,"Raines Greer, Ethan Gallagher Daniel",2,2,0,1,1,952,high,,Northwestern,0,0,1,2,2,train
Purdue-HaHa-Neg-1---Gonzaga-Round-1.docx,Purdue HH,Gonzaga,1,neg,Liberty CL - ONLINE,L,"Layton McGraw, Bennett Hawksworth Riley",6,0,6,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
WesternKentucky-InPu-Neg-1-----NUSO-----Northwestern-Round-4.docx,Western Kentucky IP,Northwestern,4,neg,Indiana TF,L,"Fish Rao, Bryce Ingram Kole",5,0,5,7,7,1184,high,,Northwestern,35,5920,49,35,0,train
UCBerkeley-BoUr-Neg-3---Gonzaga-University-Jesuit-Debates-Round-3.docx,UC Berkeley BU,Gonzaga,3,neg,Southern California DT - ONLINE,W,"Turner Loew - ONLINE, Nick Urfalian Molly",1,0,1,5,5,1342,high,,Gonzaga,5,1342,25,5,0,train
Kentucky-RiWa-Neg-Gonzaga-Round-5.docx,Kentucky RW,Gonzaga,5,neg,Northwestern AT,L,"Tahirkheli Revare, Graham Rimpson Jeremiah",1,0,1,4,4,765,high,,Gonzaga,4,765,16,4,0,train
UTD-HoHu-Neg-02---Gonzaga-Round-6.docx,UTD HH,Gonzaga,6,neg,Purdue HH - ONLINE,W,"Hansen Huffman - ONLINE, Maile Humphrey Adam",6,0,6,3,3,708,high,,Gonzaga,18,4248,9,18,0,train
NorthTexas-HaVa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,North Texas VH,Northwestern,3,neg,Kansas MB - ONLINE,L,"Bath Turner - ONLINE, Trevor Vazquez Damian",1,0,1,5,5,1878,high,,Northwestern,5,1878,25,5,0,train
Northwestern-NePa-Aff-2---Gonzaga-Round-6.docx,Northwestern NP,Gonzaga,6,aff,George Mason WW - ONLINE,W,"Wright Taylor - ONLINE, Terrell Nestor Maryclare",0,0,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Baylor-LoLi-Neg-Northwestern-Round-6.docx,Baylor LL,Northwestern,6,neg,Georgetown GT,W,"Tamfu Buttgereit, Thomas LoCicero Isabella",0,0,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
MichiganState-GuLe-Neg-Northwestern-Round-5.docx,Michigan State GL,Northwestern,5,neg,Northwestern PS,W,"Souchet Robinson, Tajaih Gusis Joanna",3,0,3,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Emory-RuYo-Neg-1.-Northwestern-Round-5.docx,Emory RY,Northwestern,5,neg,Iowa BS,W,"Sanderson Watson - ONLINE, Solomon Rupp Serena",2,0,2,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Georgia-CaPa-Neg-01]-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,Georgia CP,Northwestern,3,neg,Macalester DC,W,"Costello Revare, Graham Pack Laurel",12,0,12,3,3,879,high,,Northwestern,36,10548,9,36,0,train
Michigan-EsSh-Aff-Northwestern-Round-8.docx,Michigan ES,Northwestern,8,aff,Kansas WW,L,"Williams Hecht, Margaret Esmailzadeh Cyrus",5,5,0,40,40,3168,high,,Northwestern,0,0,1600,200,200,train
Michigan-ChSa-Aff-1---Northwestern-Round-7.docx,Michigan CS,Northwestern,7,aff,Iowa PA,L,"Anderson McElligott McVey, Alex Saudek Ben",0,0,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Stanford-LaLa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,Stanford LL,Northwestern,4,aff,Iowa BS,L,"Sanderson Jensen - ONLINE, William Lai Kevin",1,1,0,2,2,342,high,,Northwestern,0,0,4,2,2,train
Emory-ChFe-Aff-Northwestern-Round-2.docx,Emory CF,Northwestern,2,aff,Indiana TF,W,"Fish Shankar, Arvind Feldman Conor",7,7,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Northwestern-NePa-Neg-2---Gonzaga-Round-8.docx,Northwestern NP,Gonzaga,8,neg,Southern California RB,W,"Bhadani Cavanaugh - ONLINE, Ryan Nestor Maryclare",3,0,3,1,1,359,high,,Gonzaga,3,1077,1,3,0,train
Michigan-EsSh-Neg-Northwestern-Round-2.docx,Michigan ES,Northwestern,2,neg,Kansas AU,L,"Ulven Trufanov, Anthony Esmailzadeh Cyrus",4,0,4,13,13,986,high,,Northwestern,52,3944,169,52,0,train
DartmouthCollege-GuMo-Aff-1---NUSO-Round-1.docx,Dartmouth GM,Northwestern,1,aff,Michigan State JS,L,"Scully Stupek, Johnnie Guo Saturn",4,4,0,1,1,177,high,,Northwestern,0,0,1,4,4,train
WakeForest-DiEl-Aff-1---Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,Wake Forest DE,Northwestern,2,aff,Northwestern AT,L,"Tahirkheli White, Adam Elliott Elizabeth",0,0,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Georgia-CaPa-Neg-01]-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,Georgia CP,Northwestern,2,neg,Western Kentucky SS,W,"StPeter Bannister, Dan Pack Laurel",9,0,9,7,7,1305,high,,Northwestern,63,11745,49,63,0,train
WesternKentucky-NeKu-Neg-01---Northwestern-Round-7.docx,Western Kentucky KN,Northwestern,7,neg,UC Berkeley UB,L,"Boguslavsky Callahan, Christopher Ney Riley",8,0,8,7,7,1572,high,,Northwestern,56,12576,49,56,0,train
Baylor-DaLa-Neg-Northwestern-Round-2.docx,Baylor DL,Northwestern,2,neg,Emory RY,L,"Young Freehan, Tim Darwish Omar",2,0,2,6,6,3943,high,,Northwestern,12,7886,36,12,0,train
WesternKentucky-NeKu-Neg-01---Northwestern-Round-6.docx,Western Kentucky KN,Northwestern,6,neg,Georgia CP,W,"Pack Rao, Bryce Ney Riley",1,0,1,2,2,909,high,,Northwestern,2,909,4,2,0,train
Harvard-AoBo-Aff-2.-Gonzaga-Round-4.docx,Harvard AB,Gonzaga,4,aff,Kansas BW,W,"Walawender McGraw, Bennett Aoki Seiji",0,0,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Emory-ChFe-Aff-Northwestern-Round-5.docx,Emory CF,Northwestern,5,aff,Kansas State SA,W,"Ardis Lasseter, Storm Feldman Conor",6,6,0,3,3,306,high,,Northwestern,0,0,9,18,18,train
MichiganState-JaSc-Neg-1---Northwestern-Round-1.docx,Michigan State JS,Northwestern,1,neg,Dartmouth GM,W,"Morley Stupek, Johnnie Jarman Zaria",3,0,3,8,8,762,high,,Northwestern,24,2286,64,24,0,train
Kansas-OwWi-Aff-3---Gonzaga-Round-6.docx,Kansas OW,Gonzaga,6,aff,Emory CS - ONLINE,W,"Cross & Stumpff stidham - ONLINE,",9,9,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Trinity-CrKh-Neg-01-----Gonzaga-Round-1.docx,Trinity CK,Gonzaga,1,neg,Michigan State JS - ONLINE,L,"Scully Stamenkovic Diez, Nikola Crowley Leo",0,0,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
SouthernCalifornia-BhRa-Aff-2-Gonzaga-Round-5.docx,Southern California RB,Gonzaga,5,aff,Kansas HP - ONLINE,L,"Persinger Malsin - ONLINE, Mikaela Rahman Rayeed",2,2,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Georgetown-AgCo-Aff-01---Northwestern-Round-1.docx,Georgetown AC,Northwestern,1,aff,Kansas HM,W,"Martinez Cooper, Deven Cowan Connelly",3,3,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Kansas-AiUl-Neg-3.-Gonzaga-Round-7.docx,Kansas UA,Gonzaga,7,neg,Iowa PA - ONLINE,L,"Anderson McElligott Flores, Jay-Z Ain Claire",6,0,6,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
WakeForest-DiEl-Neg-2---Gonzaga-University-Jesuit-Debates-Round-7.docx,Wake Forest DE,Gonzaga,7,neg,Emory CS - ONLINE,W,"Stumpff O'Gorman - ONLINE, Danielle Elliott Elizabeth",6,0,6,10,10,2301,high,,Gonzaga,60,13806,100,60,0,train
Emory-OkPa-Neg-1---Northwestern-Round-8.docx,Emory OP,Northwestern,8,neg,Michigan State JS,W,"Scully Robinson, Tajaih okahata michi",9,0,9,2,2,509,high,,Northwestern,18,4581,4,18,0,train
Iowa-BiSa-Aff-3--Gonzaga-University-Jesuit-Debates-Round-2.docx,Iowa BS,Gonzaga,2,aff,Texas GS - ONLINE,W,"Gade Santora - ONLINE, Jeremy Bilicki Rose",0,0,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
DartmouthCollege-KaRa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-7.docx,Dartmouth KR,Northwestern,7,aff,Arizona State SS - ONLINE,W,"Saxena Wofford - ONLINE, Joseph Rao Sebastian",6,6,0,7,7,2048,high,,Northwestern,0,0,49,42,42,train
Emory-CrSt-Aff-Gonzaga-Round-3.docx,Emory CS,Gonzaga,3,aff,Northwestern NP,L,"Patterson Dal Pra - ONLINE, Sophia Cross Thaddeus",2,2,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Iowa-PaAn-Neg-Gonzaga-University-Jesuit-Debates-Round-2.docx,Iowa PA,Gonzaga,2,neg,Wake Forest HN - ONLINE,W,"Namikas Reza Husain - ONLINE, Irshad Parfenoff Grey",0,0,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
WichitaState-GrMo-Neg-5---Gonzaga-University-Jesuit-Debates-Round-5.docx,Wichita State GM,Gonzaga,5,neg,Wyoming CH,W,"Campbell & Hawley delph, kenny Molina",0,0,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Kentucky-GaSl-Neg-Northwestern-Round-4.docx,Kentucky GS,Northwestern,4,neg,Emory KS,L,"Shirts Byrne, AJ Gabay Ariel",7,0,7,1,1,83,high,,Northwestern,7,581,1,7,0,train
Minnesota-HaUs-Neg-3-Gonzaga-University-Jesuit-Debates-Round-2.docx,Minnesota HU,Gonzaga,2,neg,Georgetown LN,W,"Nanji Fleming, Nick Usenov Timur",1,0,1,4,4,2079,high,,Gonzaga,4,2079,16,4,0,train
Harvard-AoBo-Aff-2.-Gonzaga-Round-6.docx,Harvard AB,Gonzaga,6,aff,UTD DD,W,"D'Antuono Stannard, Matt Aoki Seiji",2,2,0,14,14,2171,high,,Gonzaga,0,0,196,28,28,train
DartmouthCollege-KaRa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-6.docx,Dartmouth KR,Northwestern,6,neg,Iowa KS,W,"Severson Green, Justin Rao Sebastian",10,0,10,10,10,1900,high,,Northwestern,100,19000,100,100,0,train
Emory-RuYo-Aff-1.-Northwestern-Round-8.docx,Emory RY,Northwestern,8,aff,Kansas PH,W,"Hato McBlain, Lauren Rupp Serena",0,0,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
UTD-DADi-Neg-Gonzaga-Round-2.docx,UTD DD,Gonzaga,2,neg,Arizona State SS,L,"Saxena Cooper, Deven D'Antuono Joseph-Charles",0,0,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Michigan-HwMc-Neg-2---Gonzaga-Round-8.docx,Michigan HM,Gonzaga,8,neg,Emory KW - ONLINE,W,"Kibe Ramsey - ONLINE, Jordan Hwang Calvin",12,0,12,28,28,2661,high,,Gonzaga,336,31932,784,336,0,train
Michigan-BaPa-Neg-Northwestern-Round-5.docx,Michigan BP,Northwestern,5,neg,Emory LY,W,"Yang Garrett, Lincoln Barrett Eleanor",3,0,3,8,8,491,high,,Northwestern,24,1473,64,24,0,train
MichiganState-GuLe-Neg-Northwestern-Round-4.docx,Michigan State GL,Northwestern,4,neg,Kansas AU,W,"Ulven Shankar, Arvind Gusis Joanna",11,0,11,12,12,1186,high,,Northwestern,132,13046,144,132,0,train
KansasState-ArSa-Neg-1-----Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,Kansas State SA,Northwestern,2,neg,Georgetown KL,W,"Li Cooper, Deven Sand Caitlin",1,0,1,2,2,2143,high,,Northwestern,2,2143,4,2,0,train
Wyoming-CaHa-Aff-NUSO-Round-8.docx,Wyoming CH,Northwestern,8,aff,Michigan GJ,W,"Joyce Prabhakar, Tanya Campbell Jaden",2,2,0,5,5,2067,high,,Northwestern,0,0,25,10,10,train
SouthernCalifornia-BrMa-Aff-Gonzaga-Round-1.docx,Southern California BM,Gonzaga,1,aff,Northwestern LR,L,"Rubin Green, Justin Bradley Clare",2,2,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Michigan-HwMc-Neg-1---Northwestern-Round-1.docx,Michigan HM,Northwestern,1,neg,Baylor DL,L,"Lassen Dal Pra, Sophia Hwang Calvin",8,0,8,7,7,473,high,,Northwestern,56,3784,49,56,0,train
Harvard-DeSr-Neg-1.-Northwestern-Round-5.docx,Harvard DS,Northwestern,5,neg,Kansas LS,L,"Larson Bukowsky - ONLINE, Holden Deshpande Niranjan",0,0,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Michigan-EsSh-Neg-Gonzaga-Round-7.docx,Michigan ES,Gonzaga,7,neg,Northwestern LR,L,"Rubin Vergho, Tyler Esmailzadeh Cyrus",5,0,5,17,17,1115,high,,Gonzaga,85,5575,289,85,0,train
Georgetown-KlLi-Aff-01---Northwestern-Round-3.docx,Georgetown KL,Northwestern,3,aff,Dartmouth BJ,L,"Jones Trotman, Iyana Klingler Megan",4,4,0,1,1,940,high,,Northwestern,0,0,1,4,4,train
Michigan-ChCh-Neg-1---Northwestern-Round-6.docx,Michigan CC,Northwestern,6,neg,Emory PS,W,"Stearns Garrett, Lincoln Chamarthy Gautam",3,0,3,8,8,840,high,,Northwestern,24,2520,64,24,0,train
Emory-RuYo-Neg-3.-Gonzaga-Round-2.docx,Emory RY,Gonzaga,2,neg,Michigan State GS - ONLINE,L,"Shehzad Ella - ONLINE, Maeve Rupp Serena",3,0,3,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Emory-GaSo-Aff-1.-Northwestern-Round-7.docx,Emory GS,Northwestern,7,aff,Wake Forest PS,W,"Sencion Cooper, Deven Gallagher Daniel",5,5,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Wyoming-CaHa-Aff-Gonzaga-Round-8.docx,Wyoming CH,Gonzaga,8,aff,Southern California BM,L,"Martin Joseph - ONLINE, Kyle Campbell Jaden",4,4,0,5,5,525,high,,Gonzaga,0,0,25,20,20,train
SouthernCalifornia-BrMa-Neg-Northwestern-Round-3.docx,Southern California BM,Northwestern,3,neg,Emory CrTa,W,"Taylor Sendejas - ONLINE, Adrian Bradley Clare",1,0,1,3,3,1202,high,,Northwestern,3,1202,9,3,0,train
UCBerkeley-GiSi-Neg-2---Gonzaga-University-Jesuit-Debates-Round-2.docx,UC Berkeley GS,Gonzaga,2,neg,Northwestern LW,W,"Weisz McCaffrey - ONLINE, Kevin Situ Aaron",1,0,1,4,4,754,high,,Gonzaga,4,754,16,4,0,train
Emory-JiRa-Neg-NUSO-Round-6.docx,Emory JR,Northwestern,6,neg,Dartmouth CG,L,"Goldberg Byrne, AJ Ravikumar Adhitya",1,0,1,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Michigan-ChCh-Neg-3---Gonzaga-Round-2.docx,Michigan CC,Gonzaga,2,neg,Kansas OW,W,"Owings Vergho, Tyler Chamarthy Gautam",4,0,4,11,11,994,high,,Gonzaga,44,3976,121,44,0,train
