match_key,tournament_source,round_number,aff_team,neg_team,aff_source_file,neg_source_file,aff_win_label,aff_original_split,neg_original_split,aff_parse_confidence,neg_parse_confidence,aff_parse_high,aff_parse_medium,neg_parse_high,neg_parse_medium,aff_zero_feature_flag,neg_zero_feature_flag,tournament_northwestern,aff_num_positions,neg_num_positions,diff_num_positions,aff_num_adv_inh_solv,neg_num_adv_inh_solv,diff_num_adv_inh_solv,aff_num_offs,neg_num_offs,diff_num_offs,aff_num_cards_total,neg_num_cards_total,diff_num_cards_total,aff_num_cards_with_highlight,neg_num_cards_with_highlight,diff_num_cards_with_highlight,aff_total_highlighted_words,neg_total_highlighted_words,diff_total_highlighted_words,diff_cards_per_position
Northwestern|3|csu long beach om|michigan cc,Northwestern,3,Michigan CC,CSU Long Beach OM,Michigan-ChCh-Aff-1---Northwestern-Round-3.docx,CSULongBeach-OrMe-Neg-01---Operation_-Find-The-Coon-(Northwestern)-Round-3.docx,0,train,train,high,high,1,0,1,0,0,0,1,3,1,2,3,0,3,0,1,-1,30,1,29,30,1,29,3552,453,3099,9.0
Northwestern|3|dartmouth bj|georgetown kl,Northwestern,3,Georgetown KL,Dartmouth BJ,Georgetown-KlLi-Aff-01---Northwestern-Round-3.docx,DartmouthCollege-JoBe-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,0,train,train,high,medium,1,0,0,1,0,0,1,4,1,3,4,0,4,0,1,-1,1,0,1,1,0,1,940,0,940,0.25
Northwestern|3|dartmouth hp|western kentucky ip,Northwestern,3,Western Kentucky IP,Dartmouth HP,WesternKentucky-InPu-Aff-1-----NUSO-----Northwestern-Round-3.docx,DartmouthCollege-PaHa-Neg-01----northwestern-Round-3.docx,0,test,test,high,high,1,0,1,0,0,0,1,4,5,-1,4,0,4,0,5,-5,22,2,20,22,2,20,2684,495,2189,5.1
Northwestern|3|dartmouth kr|missouri state ns,Northwestern,3,Missouri State NS,Dartmouth KR,MissouriState-NeSi-Aff-01-Northwestern-Round-3.docx,DartmouthCollege-KaRa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,1,train,train,high,high,1,0,1,0,0,0,1,6,5,1,6,0,6,0,5,-5,20,7,13,20,7,13,2820,1819,1001,1.9333333333333336
Northwestern|3|emory as|iowa pa,Northwestern,3,Emory AS,Iowa PA,Emory-AgSt-Aff-1---Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,Iowa-PaAn-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,0,train,validation,medium,medium,0,1,0,1,0,0,1,3,1,2,3,0,3,0,1,-1,0,0,0,0,0,0,0,0,0,0.0
Northwestern|3|emory gm|michigan gj,Northwestern,3,Emory GM,Michigan GJ,Emory-GeMa-Aff-Northwestern-Round-3.docx,Michigan-JoGa-Neg-0---northwestern-Round-3.docx,1,test,train,medium,high,0,1,1,0,0,0,1,5,2,3,5,0,5,0,2,-2,0,5,-5,0,5,-5,0,878,-878,-2.5
Northwestern|3|emory gs|michigan state gl,Northwestern,3,Michigan State GL,Emory GS,MichiganState-GuLe-Aff-Northwestern-Round-3.docx,Emory-GaSo-Neg-1.-Northwestern-Round-3.docx,1,train,validation,high,medium,1,0,0,1,0,0,1,4,10,-6,4,0,4,0,10,-10,1,0,1,1,0,1,1583,0,1583,0.25
Northwestern|3|emory ly|georgetown ac,Northwestern,3,Georgetown AC,Emory LY,Georgetown-AgCo-Aff-01---Northwestern-Round-3.docx,Emory-LoYa-Neg-01---Northwestern-Round-3.docx,0,train,train,medium,medium,0,1,0,1,0,0,1,1,8,-7,1,0,1,0,8,-8,0,0,0,0,0,0,0,0,0,0.0
Northwestern|3|emory op|utd pr,Northwestern,3,UTD PR,Emory OP,UTD-PeRa-Aff-01---Northwestern-Round-3.docx,Emory-OkPa-Neg-1---Northwestern-Round-3.docx,1,train,train,medium,medium,0,1,0,1,0,0,1,4,6,-2,4,0,4,0,6,-6,0,0,0,0,0,0,0,0,0,0.0
Northwestern|3|georgetown ln|missouri state hn,Northwestern,3,Missouri State HN,Georgetown LN,MissouriState-HaNe-Aff-01-Northwestern-Round-3.docx,Georgetown-LaNa-Neg-01---Northwestern-Round-3.docx,0,train,train,high,medium,1,0,0,1,0,0,1,3,6,-3,3,0,3,0,6,-6,1,0,1,1,0,1,282,0,282,0.3333333333333333
Northwestern|3|harvard ab|kansas bw,Northwestern,3,Harvard AB,Kansas BW,Harvard-AoBo-Aff-1.-Northwestern-Round-3.docx,Kansas-BrWa-Neg-1---Northwestern-Round-3.docx,0,train,train,high,high,1,0,1,0,0,0,1,3,11,-8,3,0,3,0,11,-11,28,2,26,28,2,26,1982,149,1833,9.151515151515152
Northwestern|3|kansas state dr|uc berkeley ub,Northwestern,3,UC Berkeley UB,Kansas State DR,UCBerkeley-BoUr-Aff-1---Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,KansasState-DaRa-Neg-1---Northwestern-Round-3.docx,1,test,train,high,medium,1,0,0,1,0,0,1,1,4,-3,1,0,1,0,4,-4,2,0,2,2,0,2,758,0,758,2.0
Northwestern|3|michigan am|wake forest sk,Northwestern,3,Michigan AM,Wake Forest SK,Michigan-MoAl-Aff-1---Northwestern-Round-3.docx,WakeForest-KaSh-Neg-1---Northwestern-Round-3.docx,1,validation,train,high,high,1,0,1,0,0,0,1,2,7,-5,2,0,2,0,7,-7,48,6,42,48,6,42,3218,621,2597,23.142857142857142
Northwestern|3|michigan bp|trinity pk,Northwestern,3,Michigan BP,Trinity PK,Michigan-BaPa-Aff-Northwestern-Round-3.docx,Trinity-KiPa-Neg-1---NUSO-Round-3.docx,1,test,validation,high,medium,1,0,0,1,0,0,1,4,2,2,4,0,4,0,2,-2,29,0,29,29,0,29,4753,0,4753,7.25
Northwestern|3|michigan cs|michigan state gs,Northwestern,3,Michigan CS,Michigan State GS,Michigan-ChSa-Aff-1---Northwestern-Round-3.docx,MichiganState-GeSh-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,0,train,train,medium,high,0,1,1,0,1,0,1,0,1,-1,0,0,0,0,1,-1,0,1,-1,0,1,-1,0,333,-333,-1.0
Northwestern|3|michigan state fm|wyoming ww,Northwestern,3,Wyoming WW,Michigan State FM,Wyoming-WiWi-Aff-1.-Northwestern-Round-3.docx,MichiganState-FoMa-Neg-01---Northwestern-Round-3.docx,0,train,train,medium,medium,0,1,0,1,1,0,1,0,2,-2,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0.0
Northwestern|3|northwestern ll|wake forest de,Northwestern,3,Northwestern LL,Wake Forest DE,Northwestern-LuLe-Aff-01---Northwestern-Round-3.docx,WakeForest-DiEl-Neg-1---Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,0,validation,train,high,high,1,0,1,0,0,0,1,5,1,4,5,0,5,0,1,-1,1,24,-23,1,24,-23,85,2748,-2663,-23.8
Northwestern|3|uc berkeley rm|wake forest sl,Northwestern,3,UC Berkeley RM,Wake Forest SL,UCBerkeley-MeRe-Aff-1---Northwestern-Round-3.docx,WakeForest-LiSf-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,0,validation,train,medium,high,0,1,1,0,1,0,1,0,6,-6,0,0,0,0,6,-6,0,4,-4,0,4,-4,0,1766,-1766,-0.6666666666666666
Northwestern|3|utd hk|western kentucky ss,Northwestern,3,UTD HK,Western Kentucky SS,UTD-HaKa-Aff-01---Northwestern-Round-3.docx,WesternKentucky-StSc-Neg-01---NUSO-Round-3.docx,1,train,train,medium,high,0,1,1,0,1,0,1,0,2,-2,0,0,0,0,2,-2,0,1,-1,0,1,-1,0,1894,-1894,-0.5
Northwestern|4|baylor dl|emory cf,Northwestern,4,Emory CF,Baylor DL,Emory-ChFe-Aff-Northwestern-Round-4.docx,Baylor-DaLa-Neg-Northwestern-Round-4.docx,0,validation,validation,medium,high,0,1,1,0,0,0,1,6,3,3,6,0,6,0,3,-3,0,5,-5,0,5,-5,0,908,-908,-1.6666666666666667
Northwestern|4|baylor pm|dartmouth gm,Northwestern,4,Baylor PM,Dartmouth GM,Baylor-MePh-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,DartmouthCollege-GuMo-Neg-1---NUSO-Round-4.docx,0,test,train,high,high,1,0,1,0,0,0,1,1,2,-1,1,0,1,0,2,-2,8,3,5,8,3,5,1738,1047,691,6.5
Northwestern|4|csu long beach om|michigan bp,Northwestern,4,CSU Long Beach OM,Michigan BP,CSULongBeach-OrMe-Aff-01---Operation_-Find-The-Coon-(Northwestern)-Round-4.docx,Michigan-BaPa-Neg-Northwestern-Round-4.docx,0,train,validation,medium,high,0,1,1,0,1,0,1,0,5,-5,0,0,0,0,5,-5,0,10,-10,0,10,-10,0,778,-778,-2.0
Northwestern|4|dartmouth bj|wake forest hn,Northwestern,4,Dartmouth BJ,Wake Forest HN,DartmouthCollege-JoBe-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,WakeForest-HaNa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,1,train,test,medium,medium,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Northwestern|4|dartmouth cg|southern california br,Northwestern,4,Dartmouth CG,Southern California BR,DartmouthCollege-CaGo-Aff-1---NUSO-Round-4.docx,SouthernCalifornia-BhRa-Neg-1-Northwestern-Round-4.docx,0,test,train,high,medium,1,0,0,1,0,0,1,7,6,1,7,0,7,0,6,-6,4,0,4,4,0,4,503,0,503,0.5714285714285714
Northwestern|4|dartmouth kr|wyoming ww,Northwestern,4,Dartmouth KR,Wyoming WW,DartmouthCollege-KaRa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,Wyoming-WiWi-Neg-1.-Northwestern-Round-4.docx,0,train,train,high,medium,1,0,0,1,0,0,1,3,1,2,3,0,3,0,1,-1,7,0,7,7,0,7,2680,0,2680,2.3333333333333335
Northwestern|4|emory as|wake forest de,Northwestern,4,Wake Forest DE,Emory AS,WakeForest-DiEl-Aff-1---Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,Emory-AgSt-Neg-1---Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,0,train,train,medium,medium,0,1,0,1,1,0,1,0,10,-10,0,0,0,0,10,-10,0,0,0,0,0,0,0,0,0,0.0
Northwestern|4|emory cg|harvard ab,Northwestern,4,Emory CG,Harvard AB,Emory-GrCh-Aff-1---Owen-L.-Coon-Memorial-Debates-Round-4.docx,Harvard-AoBo-Neg-1.-Northwestern-Round-4.docx,0,train,train,medium,high,0,1,1,0,0,0,1,5,3,2,5,0,5,0,3,-3,0,9,-9,0,9,-9,0,1951,-1951,-3.0
Northwestern|4|emory gm|georgia cp,Northwestern,4,Georgia CP,Emory GM,Georgia-CaPa-Aff-01]-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,Emory-GeMa-Neg-Northwestern-Round-4.docx,0,validation,train,high,high,1,0,1,0,0,0,1,6,6,0,6,0,6,0,6,-6,3,4,-1,3,4,-1,2058,634,1424,-0.16666666666666663
Northwestern|4|emory ks|kentucky gs,Northwestern,4,Emory KS,Kentucky GS,Emory-KiSh-Aff-01---Northwestern-Round-4.docx,Kentucky-GaSl-Neg-Northwestern-Round-4.docx,1,train,train,medium,high,0,1,1,0,0,0,1,5,7,-2,5,0,5,0,7,-7,0,1,-1,0,1,-1,0,83,-83,-0.14285714285714285
Northwestern|4|emory op|missouri state hn,Northwestern,4,Emory OP,Missouri State HN,Emory-OkPa-Aff-1---Northwestern-Round-4.docx,MissouriState-HaNe-Neg-01-Northwestern-Round-4.docx,1,train,validation,high,high,1,0,1,0,0,0,1,2,9,-7,2,0,2,0,9,-9,5,17,-12,5,17,-12,574,720,-146,0.6111111111111112
Northwestern|4|emory ps|michigan ao,Northwestern,4,Michigan AO,Emory PS,Michigan-OuAg-Aff-1-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,Emory-PeSt-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,1,test,train,medium,medium,0,1,0,1,1,0,1,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0.0
Northwestern|4|georgetown ac|michigan gj,Northwestern,4,Michigan GJ,Georgetown AC,Michigan-JoGa-Aff-0---northwestern-Round-4.docx,Georgetown-AgCo-Neg-01---Northwestern-Round-4.docx,0,train,train,high,medium,1,0,0,1,0,0,1,7,5,2,7,0,7,0,5,-5,32,0,32,32,0,32,3034,0,3034,4.571428571428571
Northwestern|4|georgetown gt|wyoming ch,Northwestern,4,Wyoming CH,Georgetown GT,Wyoming-CaHa-Aff-NUSO-Round-4.docx,Georgetown-GrTa-Neg-01---OLC-Memorial-Debates-@-Northwestern-Round-4.docx,0,train,train,medium,high,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,-1,0,2,-2,0,2,-2,0,1461,-1461,-2.0
Northwestern|4|georgetown kl|wake forest sk,Northwestern,4,Wake Forest SK,Georgetown KL,WakeForest-KaSh-Aff-1---Northwestern-Round-4.docx,Georgetown-KlLi-Neg-01---Northwestern-Round-4.docx,0,train,train,medium,medium,0,1,0,1,1,0,1,0,4,-4,0,0,0,0,4,-4,0,0,0,0,0,0,0,0,0,0.0
Northwestern|4|harvard ds|southern california tm,Northwestern,4,Harvard DS,Southern California TM,Harvard-DeSr-Aff-1.-Northwestern-Round-4.docx,SouthernCalifornia-TrMi-Neg-Northwestern-Round-4.docx,1,validation,train,medium,medium,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Northwestern|4|indiana tf|western kentucky ip,Northwestern,4,Indiana TF,Western Kentucky IP,Indiana-FiTr-Aff-1.-Northwestern-Round-4.docx,WesternKentucky-InPu-Neg-1-----NUSO-----Northwestern-Round-4.docx,1,test,train,high,high,1,0,1,0,0,0,1,4,5,-1,4,0,4,0,5,-5,19,7,12,19,7,12,1748,1184,564,3.35
Northwestern|4|iowa bs|stanford ll,Northwestern,4,Stanford LL,Iowa BS,Stanford-LaLa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,Iowa-BiSa-Neg-1--Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,0,train,validation,high,medium,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,2,0,2,2,0,2,342,0,342,2.0
Northwestern|4|iowa we|michigan es,Northwestern,4,Michigan ES,Iowa WE,Michigan-EsSh-Aff-Northwestern-Round-4.docx,Iowa-WeEl-Neg-01-----Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,1,test,train,high,medium,1,0,0,1,0,1,1,2,0,2,2,0,2,0,0,0,30,0,30,30,0,30,4758,0,4758,15.0
Northwestern|4|kansas au|michigan state gl,Northwestern,4,Kansas AU,Michigan State GL,Kansas-AiUl-Aff-1.-Northwestern-Round-4.docx,MichiganState-GuLe-Neg-Northwestern-Round-4.docx,0,train,train,high,high,1,0,1,0,0,0,1,7,11,-4,7,0,7,0,11,-11,1,12,-11,1,12,-11,560,1186,-626,-0.948051948051948
Northwestern|4|kansas bw|missouri state ns,Northwestern,4,Kansas BW,Missouri State NS,Kansas-BrWa-Aff-1---Northwestern-Round-4.docx,MissouriState-NeSi-Neg-01-Northwestern-Round-4.docx,0,train,train,high,high,1,0,1,0,0,0,1,9,14,-5,9,0,9,0,14,-14,1,1,0,1,1,0,883,27,856,0.03968253968253968
Northwestern|4|kansas mb|northwestern lr,Northwestern,4,Northwestern LR,Kansas MB,Northwestern-RuLi-Aff-01---Northwestern-Round-4.docx,Kansas-BaMc-Neg-1---Northwestern-Round-4.docx,1,train,validation,medium,medium,0,1,0,1,0,0,1,9,5,4,9,0,9,0,5,-5,0,0,0,0,0,0,0,0,0,0.0
Northwestern|4|macalester hw|utd pr,Northwestern,4,Macalester HW,UTD PR,MacalesterCollege-HaWi-Aff-1--Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,UTD-PeRa-Neg-01---Northwestern-Round-4.docx,0,train,validation,high,high,1,0,1,0,0,0,1,7,5,2,7,0,7,0,5,-5,17,8,9,17,8,9,3250,1401,1849,0.8285714285714283
Northwestern|4|michigan cc|southern california bm,Northwestern,4,Southern California BM,Michigan CC,SouthernCalifornia-BrMa-Aff-Northwestern-Round-4.docx,Michigan-ChCh-Neg-1---Northwestern-Round-4.docx,0,train,train,medium,high,0,1,1,0,0,0,1,2,5,-3,2,0,2,0,5,-5,0,11,-11,0,11,-11,0,1408,-1408,-2.2
Northwestern|4|michigan ss|wake forest sl,Northwestern,4,Wake Forest SL,Michigan SS,WakeForest-LiSf-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-4.docx,Michigan-ShSh-Neg-Northwestern-Round-4.docx,0,test,train,medium,high,0,1,1,0,1,0,1,0,4,-4,0,0,0,0,4,-4,0,12,-12,0,12,-12,0,1748,-1748,-3.0
Northwestern|4|michigan state fm|uc berkeley rm,Northwestern,4,Michigan State FM,UC Berkeley RM,MichiganState-FoMa-Aff-01---Northwestern-Round-4.docx,UCBerkeley-MeRe-Neg-1---Northwestern-Round-4.docx,0,train,train,medium,high,0,1,1,0,0,0,1,6,9,-3,6,0,6,0,9,-9,0,21,-21,0,21,-21,0,4487,-4487,-2.3333333333333335
Northwestern|5|arizona state ss|dartmouth cg,Northwestern,5,Arizona State SS,Dartmouth CG,ArizonaState-SaSm-Aff-1---Owen-L.-Coon-Round-5.docx,DartmouthCollege-CaGo-Neg-1---NUSO-Round-5.docx,0,train,train,medium,medium,0,1,0,1,1,0,1,0,6,-6,0,0,0,0,6,-6,0,0,0,0,0,0,0,0,0,0.0
Northwestern|5|baylor bk|wyoming ww,Northwestern,5,Wyoming WW,Baylor BK,Wyoming-WiWi-Aff-1.-Northwestern-Round-5.docx,Baylor-KeBe-Neg-Northwestern-Round-5.docx,0,train,train,medium,medium,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Northwestern|5|baylor dl|michigan ss,Northwestern,5,Michigan SS,Baylor DL,Michigan-ShSh-Aff-Northwestern-Round-5.docx,Baylor-DaLa-Neg-Northwestern-Round-5.docx,1,train,validation,high,high,1,0,1,0,0,0,1,4,3,1,4,0,4,0,3,-3,55,8,47,55,8,47,4340,2943,1397,11.083333333333334
Northwestern|5|baylor ll|cornell ld,Northwestern,5,Baylor LL,Cornell LD,Baylor-LoLi-Aff-Northwestern-Round-5.docx,Cornell-LiDi-Neg-Northwestern-Round-5.docx,1,train,validation,medium,high,0,1,1,0,1,0,1,0,6,-6,0,0,0,0,6,-6,0,1,-1,0,1,-1,0,206,-206,-0.16666666666666666
Northwestern|5|baylor pm|wake forest sk,Northwestern,5,Wake Forest SK,Baylor PM,WakeForest-KaSh-Aff-1---Northwestern-Round-5.docx,Baylor-MePh-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,0,train,validation,medium,high,0,1,1,0,1,0,1,0,1,-1,0,0,0,0,1,-1,0,1,-1,0,1,-1,0,1010,-1010,-1.0
Northwestern|5|csu long beach om|uc berkeley ub,Northwestern,5,UC Berkeley UB,CSU Long Beach OM,UCBerkeley-BoUr-Aff-1---Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,CSULongBeach-OrMe-Neg-01---Operation_-Find-The-Coon-(Northwestern)-Round-5.docx,0,train,validation,medium,medium,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Northwestern|5|dartmouth bj|western kentucky ss,Northwestern,5,Western Kentucky SS,Dartmouth BJ,WesternKentucky-StSc-Aff-01---NUSO-Round-5.docx,DartmouthCollege-JoBe-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,1,train,test,high,high,1,0,1,0,0,0,1,4,1,3,4,0,4,0,1,-1,18,1,17,18,1,17,1867,1798,69,3.5
Northwestern|5|dartmouth gm|kansas state dr,Northwestern,5,Kansas State DR,Dartmouth GM,KansasState-DaRa-Aff-1---Northwestern-Round-5.docx,DartmouthCollege-GuMo-Neg-1---NUSO-Round-5.docx,1,train,test,high,high,1,0,1,0,0,0,1,2,1,1,2,0,2,0,1,-1,1,8,-7,1,8,-7,307,1129,-822,-7.5
Northwestern|5|dartmouth hp|southern california tm,Northwestern,5,Dartmouth HP,Southern California TM,DartmouthCollege-PaHa-Aff-01----northwestern-Round-5.docx,SouthernCalifornia-TrMi-Neg-Northwestern-Round-5.docx,0,train,validation,high,medium,1,0,0,1,0,1,1,2,0,2,2,0,2,0,0,0,2,0,2,2,0,2,1487,0,1487,1.0
Northwestern|5|dartmouth kr|western kentucky ip,Northwestern,5,Dartmouth KR,Western Kentucky IP,DartmouthCollege-KaRa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,WesternKentucky-InPu-Neg-1-----NUSO-----Northwestern-Round-5.docx,1,train,train,high,high,1,0,1,0,0,0,1,4,6,-2,4,0,4,0,6,-6,4,4,0,4,4,0,946,1268,-322,0.33333333333333337
Northwestern|5|emory as|michigan state js,Northwestern,5,Emory AS,Michigan State JS,Emory-AgSt-Aff-1---Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,MichiganState-JaSc-Neg-1-Northwestern-Round-5.docx,0,train,train,high,high,1,0,1,0,0,0,1,4,6,-2,4,0,4,0,6,-6,2,8,-6,2,8,-6,74,1166,-1092,-0.8333333333333333
Northwestern|5|emory cf|kansas state sa,Northwestern,5,Emory CF,Kansas State SA,Emory-ChFe-Aff-Northwestern-Round-5.docx,KansasState-ArSa-Neg-1-----Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,1,train,train,high,high,1,0,1,0,0,0,1,6,1,5,6,0,6,0,1,-1,3,2,1,3,2,1,306,1549,-1243,-1.5
Northwestern|5|emory cg|michigan am,Northwestern,5,Emory CG,Michigan AM,Emory-GrCh-Aff-1---Owen-L.-Coon-Memorial-Debates-Round-5.docx,Michigan-MoAl-Neg-1---Northwestern-Round-5.docx,0,train,train,medium,high,0,1,1,0,0,0,1,5,7,-2,5,0,5,0,7,-7,0,30,-30,0,30,-30,0,2576,-2576,-4.285714285714286
Northwestern|5|emory jr|georgia cp,Northwestern,5,Emory JR,Georgia CP,Emory-JiRa-Aff-NUSO-Round-5.docx,Georgia-CaPa-Neg-01]-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,1,train,train,medium,high,0,1,1,0,0,0,1,5,12,-7,5,0,5,0,12,-12,0,8,-8,0,8,-8,0,1624,-1624,-0.6666666666666666
Northwestern|5|emory ks|northwestern lr,Northwestern,5,Emory KS,Northwestern LR,Emory-KiSh-Aff-01---Northwestern-Round-5.docx,Northwestern-RuLi-Neg-01---Northwestern-Round-5.docx,0,validation,train,high,medium,1,0,0,1,0,0,1,4,14,-10,4,0,4,0,14,-14,1,0,1,1,0,1,1312,0,1312,0.25
Northwestern|5|emory ly|michigan bp,Northwestern,5,Emory LY,Michigan BP,Emory-LoYa-Aff-01---Northwestern-Round-5.docx,Michigan-BaPa-Neg-Northwestern-Round-5.docx,0,train,train,high,high,1,0,1,0,0,0,1,5,3,2,5,0,5,0,3,-3,3,8,-5,3,8,-5,1371,491,880,-2.0666666666666664
Northwestern|5|emory op|wake forest de,Northwestern,5,Emory OP,Wake Forest DE,Emory-OkPa-Aff-1---Northwestern-Round-5.docx,WakeForest-DiEl-Neg-1---Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,0,test,test,high,high,1,0,1,0,0,0,1,2,4,-2,2,0,2,0,4,-4,5,6,-1,5,6,-1,574,1349,-775,1.0
Northwestern|5|emory ps|wyoming ch,Northwestern,5,Wyoming CH,Emory PS,Wyoming-CaHa-Aff-NUSO-Round-5.docx,Emory-PeSt-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,0,test,train,medium,medium,0,1,0,1,0,0,1,2,8,-6,2,0,2,0,8,-8,0,0,0,0,0,0,0,0,0,0.0
Northwestern|5|georgetown ac|michigan cc,Northwestern,5,Michigan CC,Georgetown AC,Michigan-ChCh-Aff-1---Northwestern-Round-5.docx,Georgetown-AgCo-Neg-01---Northwestern-Round-5.docx,0,train,test,high,high,1,0,1,0,0,0,1,11,12,-1,11,0,11,0,12,-12,43,1,42,43,1,42,3889,266,3623,3.8257575757575757
Northwestern|5|georgetown gt|michigan cs,Northwestern,5,Michigan CS,Georgetown GT,Michigan-ChSa-Aff-1---Northwestern-Round-5.docx,Georgetown-GrTa-Neg-01---OLC-Memorial-Debates-@-Northwestern-Round-5.docx,1,train,train,medium,medium,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Northwestern|5|georgetown ln|wichita state mg,Northwestern,5,Georgetown LN,Wichita State MG,Georgetown-LaNa-Aff-01---Northwestern-Round-5.docx,WichitaState-GrMo-Neg-1---Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,0,test,train,medium,medium,0,1,0,1,0,1,1,7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Northwestern|5|georgia ck|michigan gj,Northwestern,5,Michigan GJ,Georgia CK,Michigan-JoGa-Aff-0---northwestern-Round-5.docx,Georgia-KaCh-Neg-1---Northwestern-Round-5.docx,1,validation,train,high,medium,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,17,0,17,17,0,17,1231,0,1231,17.0
Northwestern|5|harvard ab|stanford ll,Northwestern,5,Stanford LL,Harvard AB,Stanford-LaLa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,Harvard-AoBo-Neg-1.-Northwestern-Round-5.docx,0,test,train,medium,medium,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Northwestern|5|macalester dc|missouri state hn,Northwestern,5,Macalester DC,Missouri State HN,MacalesterCollege-CoDu-Aff-Owen-L-Coon-Memorial-Tournament-at-Northwestern-Round-5.docx,MissouriState-HaNe-Neg-01-Northwestern-Round-5.docx,0,train,train,high,high,1,0,1,0,0,0,1,2,9,-7,2,0,2,0,9,-9,10,8,2,10,8,2,1978,570,1408,4.111111111111111
Northwestern|5|macalester hw|wake forest sl,Northwestern,5,Wake Forest SL,Macalester HW,WakeForest-LiSf-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,MacalesterCollege-HaWi-Neg-1--Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,1,train,train,medium,high,0,1,1,0,1,0,1,0,2,-2,0,0,0,0,2,-2,0,2,-2,0,2,-2,0,1726,-1726,-1.0
Northwestern|5|michigan es|utd pr,Northwestern,5,Michigan ES,UTD PR,Michigan-EsSh-Aff-Northwestern-Round-5.docx,UTD-PeRa-Neg-01---Northwestern-Round-5.docx,1,validation,test,high,high,1,0,1,0,0,0,1,6,5,1,6,0,6,0,5,-5,40,6,34,40,6,34,3686,1025,2661,5.466666666666667
Northwestern|5|michigan state gs|utd hk,Northwestern,5,UTD HK,Michigan State GS,UTD-HaKa-Aff-01---Northwestern-Round-5.docx,MichiganState-GeSh-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,1,train,train,medium,medium,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
