source_file,team_code,tournament_name,round_number,side,opponent,win_loss,judge,num_positions,num_adv_inh_solv,num_offs,num_cards_total,num_cards_with_highlight,total_highlighted_words,parse_confidence,warnings,dataset_split
CSULongBeach-OrMe-Neg-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-5.docx,CSU Long Beach OM,Gonzaga,5,neg,UC Berkeley RM,W,"Reichel McGraw, Bennett Ortega Curtis",0,0,0,0,0,0,medium,,validation
CSULongBeach-OrMe-Neg-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-7.docx,CSU Long Beach OM,Gonzaga,7,neg,Emory GS - ONLINE,L,"Song Reese - ONLINE, Thomas Ortega Curtis",0,0,0,0,0,0,medium,,test
DartmouthCollege-CaGo-Aff-4---Gonzaga-Round-2.docx,Dartmouth CG,Gonzaga,2,aff,Northwestern NP,L,"Patterson Vernon, Kc Cai Nora",0,0,0,0,0,0,medium,,test
DartmouthCollege-CaGo-Aff-4---Gonzaga-Round-4.docx,Dartmouth CG,Gonzaga,4,aff,Northwestern AH,W,"Hines Stupek, Johnnie Cai Nora",2,2,0,3,3,1283,high,,test
DartmouthCollege-CaGo-Aff-4---Gonzaga-Round-6.docx,Dartmouth CG,Gonzaga,6,aff,Minnesota HU,W,"Usenov Weideman, Joe Cai Nora",3,3,0,2,2,1603,high,,test
DartmouthCollege-CaGo-Aff-4---Gonzaga-Round-8.docx,Dartmouth CG,Gonzaga,8,aff,Michigan State GS - ONLINE,W,"Shehzad Hall, Sherry Cai Nora",2,2,0,1,1,317,high,,train
DartmouthCollege-CaGo-Neg-4---Gonzaga-Round-1.docx,Dartmouth CG,Gonzaga,1,neg,UTD HH,W,"Hoch Brovero, Adrienne Cai Nora",10,0,10,0,0,0,medium,,train
DartmouthCollege-CaGo-Neg-4---Gonzaga-Round-3.docx,Dartmouth CG,Gonzaga,3,neg,Michigan State JS - ONLINE,L,"Scully O'Gorman - ONLINE, Danielle Cai Nora",9,0,9,1,1,449,high,,train
DartmouthCollege-CaGo-Neg-4---Gonzaga-Round-5.docx,Dartmouth CG,Gonzaga,5,neg,UTD PR,L,"Ravi Perkins, Dallas Cai Nora",6,0,6,1,1,1801,high,,validation
DartmouthCollege-CaGo-Neg-4---Gonzaga-Round-7.docx,Dartmouth CG,Gonzaga,7,neg,Kansas BW,W,"Walawender Karthikeyan - ONLINE, Viveth Cai Nora",7,0,7,2,2,906,high,,test
DartmouthCollege-JoRa-Aff-2---Gonzaga-Round-1.docx,Dartmouth JR,Gonzaga,1,aff,Wake Forest HN - ONLINE,L,"Namikas Jordan - ONLINE, Tommy Rao Sebastian",1,1,0,0,0,0,medium,,test
DartmouthCollege-JoRa-Aff-2---Gonzaga-Round-4.docx,Dartmouth JR,Gonzaga,4,aff,Michigan State GS - ONLINE,L,"Shehzad Flores, Jay-Z Rao Sebastian",1,1,0,0,0,0,medium,,train
DartmouthCollege-JoRa-Aff-2---Gonzaga-Round-6.docx,Dartmouth JR,Gonzaga,6,aff,Michigan SS,L,"Shih Aoki, Kenji Rao Sebastian",1,1,0,5,5,697,high,,train
DartmouthCollege-JoRa-Aff-2---Gonzaga-Round-7.docx,Dartmouth JR,Gonzaga,7,aff,Wake Forest AB,W,"Brown Zaidi, Kumail Rao Sebastian",1,1,0,0,0,0,medium,,train
DartmouthCollege-JoRa-Neg-2---Gonzaga-Round-2.docx,Dartmouth JR,Gonzaga,2,neg,Emory TS - ONLINE,W,"Tai Meyers-Levy - ONLINE, Dustin Rao Sebastian",1,0,1,0,0,0,medium,,train
DartmouthCollege-JoRa-Neg-2---Gonzaga-Round-3.docx,Dartmouth JR,Gonzaga,3,neg,Arizona State SS,W,"Saxena Reese - ONLINE, Thomas Rao Sebastian",1,0,1,0,0,0,medium,,train
DartmouthCollege-JoRa-Neg-2---Gonzaga-Round-5.docx,Dartmouth JR,Gonzaga,5,neg,Wyoming WW,W,"Willson Dal Pra - ONLINE, Sophia Rao Sebastian",5,0,5,0,0,0,medium,,train
DartmouthCollege-JoRa-Neg-2---Gonzaga-Round-8.docx,Dartmouth JR,Gonzaga,8,neg,Kansas SS,L,"Shaw Fisher, Corey Rao Sebastian",1,0,1,4,4,2510,high,,train
Emory-ChRa-Aff-Gonzaga-Round-1.docx,Emory CR,Gonzaga,1,aff,Kansas HP - ONLINE,L,"Persinger Osei - ONLINE, Kwudjwa Ravikumar Adhitya",2,2,0,0,0,0,medium,,test
Emory-ChRa-Aff-Gonzaga-Round-3.docx,Emory CR,Gonzaga,3,aff,Wyoming CH,L,"Hawley Channa - ONLINE, Dhruv Ravikumar Adhitya",5,5,0,0,0,0,medium,,train
Emory-ChRa-Aff-Gonzaga-Round-5.docx,Emory CR,Gonzaga,5,aff,Harvard/Amherst SL,W,"Lourenco Green, Justin Ravikumar Adhitya",6,6,0,0,0,0,medium,,train
Emory-ChRa-Aff-Gonzaga-Round-8.docx,Emory CR,Gonzaga,8,aff,Georgia CK,L,"Kaidar-Heafetz Rooney, David Ravikumar Adhitya",8,8,0,1,1,191,high,,test
Emory-ChRa-Neg-Gonzaga-Round-2.docx,Emory CR,Gonzaga,2,neg,Purdue HH - ONLINE,W,"Hansen Wunderlich - ONLINE, Carly Ravikumar Adhitya",7,0,7,0,0,0,medium,,test
Emory-ChRa-Neg-Gonzaga-Round-4.docx,Emory CR,Gonzaga,4,neg,CSU Long Beach SS - HYBRID,L,"Saenz Dal Pra - ONLINE, Sophia Ravikumar Adhitya",1,0,1,0,0,0,medium,,test
Emory-ChRa-Neg-Gonzaga-Round-6.docx,Emory CR,Gonzaga,6,neg,Michigan State FM - ONLINE,L,"Martin Fleming, Nick Ravikumar Adhitya",5,0,5,3,3,244,high,,train
Emory-ChRa-Neg-Gonzaga-Round-7.docx,Emory CR,Gonzaga,7,neg,Michigan CS,L,"Saudek Maag - ONLINE, Eric Ravikumar Adhitya",1,0,1,0,0,0,medium,,train
Emory-CrSt-Aff-Gonzaga-Round-1.docx,Emory CS,Gonzaga,1,aff,Stanford LY - ONLINE,W,"Yan Wunderlich - ONLINE, Carly Cross Thaddeus",2,2,0,0,0,0,medium,,validation
Emory-CrSt-Aff-Gonzaga-Round-3.docx,Emory CS,Gonzaga,3,aff,Northwestern NP,L,"Patterson Dal Pra - ONLINE, Sophia Cross Thaddeus",2,2,0,0,0,0,medium,,train
Emory-CrSt-Aff-Gonzaga-Round-5.docx,Emory CS,Gonzaga,5,aff,Michigan HM - ONLINE,W,"McIlhenny Ferguson - ONLINE, Josiah Cross Thaddeus",2,2,0,1,1,358,high,,test
Emory-CrSt-Aff-Gonzaga-Round-7.docx,Emory CS,Gonzaga,7,aff,Wake Forest DE,L,"Elliott O'Gorman - ONLINE, Danielle Cross Thaddeus",6,6,0,0,0,0,medium,,test
Emory-CrSt-Neg-Gonzaga-Round-4.docx,Emory CS,Gonzaga,4,neg,Kansas UA,L,"Ain Repko - ONLINE, William Cross Thaddeus",4,0,4,0,0,0,medium,,test
Emory-CrSt-Neg-Gonzaga-Round-6.docx,Emory CS,Gonzaga,6,neg,Kansas OW,L,"Willingham & Owings stidham - ONLINE,",6,0,6,0,0,0,medium,,train
Emory-GaSo-Aff-4.-Gonzaga-Round-3.docx,Emory GS,Gonzaga,3,aff,Wyoming WW,W,"Willson Williams, DJ Gallagher Daniel",2,2,0,0,0,0,medium,,train
Emory-GaSo-Aff-4.-Gonzaga-Round-6.docx,Emory GS,Gonzaga,6,aff,Binghamton CK,L,"King Davidson, Ari Gallagher Daniel",5,5,0,0,0,0,medium,,train
Emory-GaSo-Aff-4.-Gonzaga-Round-7.docx,Emory GS,Gonzaga,7,aff,CSU Long Beach OM,W,"Medina Reese - ONLINE, Thomas Gallagher Daniel",3,3,0,0,0,0,medium,,train
Emory-GaSo-Neg-4.-Gonzaga-Round-2.docx,Emory GS,Gonzaga,2,neg,Michigan State FM - ONLINE,W,"Martin Hirn, Kevin Gallagher Daniel",7,0,7,2,2,2067,high,,train
Emory-GaSo-Neg-4.-Gonzaga-Round-4.docx,Emory GS,Gonzaga,4,neg,Wake Forest LW,W,"Wolfe Osei - ONLINE, Kwudjwa Gallagher Daniel",6,0,6,0,0,0,medium,,test
Emory-GaSo-Neg-4.-Gonzaga-Round-5.docx,Emory GS,Gonzaga,5,neg,Michigan State GS - ONLINE,W,"Shehzad Meyers-Levy - ONLINE, Dustin Gallagher Daniel",3,0,3,0,0,0,medium,,train
Emory-GaSo-Neg-4.-Gonzaga-Round-8.docx,Emory GS,Gonzaga,8,neg,Michigan ES,W,"Shetty O'Gorman - ONLINE, Danielle Gallagher Daniel",13,0,13,1,1,24,high,,train
Emory-GrCh-Aff-3---Gonzaga-Round-1.docx,Emory CG,Gonzaga,1,aff,Iowa EW - ONLINE,L,"Eltyeb Watson - ONLINE, Solomon Chen Jason",3,3,0,0,0,0,medium,,train
Emory-GrCh-Aff-3---Gonzaga-Round-4.docx,Emory CG,Gonzaga,4,aff,Wake Forest AB,L,"Brown Reese - ONLINE, Thomas Chen Jason",2,2,0,1,1,784,high,,train
Emory-GrCh-Aff-3---Gonzaga-Round-6.docx,Emory CG,Gonzaga,6,aff,Trinity KP,L,"King Ramsey - ONLINE, Jordan Chen Jason",2,2,0,1,1,140,high,,train
Emory-GrCh-Aff-3---Gonzaga-Round-7.docx,Emory CG,Gonzaga,7,aff,Navy CR - ONLINE,L,"Connor Ella - ONLINE, Maeve Chen Jason",8,8,0,0,0,0,medium,,train
Emory-GrCh-Neg-3---Gonzaga-Round-2.docx,Emory CG,Gonzaga,2,neg,Southern California DT - ONLINE,L,"Turner Jensen - ONLINE, William Chen Jason",10,0,10,0,0,0,medium,,train
Emory-GrCh-Neg-3---Gonzaga-Round-3.docx,Emory CG,Gonzaga,3,neg,Northwestern AH,L,"Hines Martin - ONLINE, Nate Chen Jason",11,0,11,0,0,0,medium,,test
Emory-GrCh-Neg-3---Gonzaga-Round-5.docx,Emory CG,Gonzaga,5,neg,Northwestern HP,W,"Peltier Rooney, David Chen Jason",2,0,2,0,0,0,medium,,train
Emory-GrCh-Neg-3---Gonzaga-Round-8.docx,Emory CG,Gonzaga,8,neg,Kansas BM,L,"McConnell Flores, Jay-Z Chen Jason",5,0,5,0,0,0,medium,,train
Emory-LoYa-Aff-03---Gonzaga-Round-2.docx,Emory LY,Gonzaga,2,aff,Michigan State JS - ONLINE,W,"Scully Ferguson - ONLINE, Josiah Yang Coralynn",10,10,0,0,0,0,medium,,train
Emory-LoYa-Aff-03---Gonzaga-Round-4.docx,Emory LY,Gonzaga,4,aff,Iowa EW - ONLINE,L,"Weimar & Eltyeb stidham - ONLINE,",0,0,0,0,0,0,medium,,train
Emory-LoYa-Aff-03---Gonzaga-Round-6.docx,Emory LY,Gonzaga,6,aff,Texas FL,W,"Low Green, Justin Yang Coralynn",1,1,0,2,2,550,high,,train
Emory-LoYa-Aff-03---Gonzaga-Round-7.docx,Emory LY,Gonzaga,7,aff,UTD PR,W,"Ravi Trufanov, Anthony Yang Coralynn",4,4,0,2,2,1313,high,,validation
Emory-LoYa-Neg-03---Gonzaga-Round-1.docx,Emory LY,Gonzaga,1,neg,Wichita State GM - ONLINE,W,"Griffith Ella - ONLINE, Maeve Yang Coralynn",5,0,5,0,0,0,medium,,train
Emory-LoYa-Neg-03---Gonzaga-Round-3.docx,Emory LY,Gonzaga,3,neg,Michigan BP,L,"Park Phillips - ONLINE, Bobby Yang Coralynn",13,0,13,0,0,0,medium,,validation
Emory-LoYa-Neg-03---Gonzaga-Round-5.docx,Emory LY,Gonzaga,5,neg,Georgia CK,W,"Kaidar-Heafetz Taylor - ONLINE, Terrell Yang Coralynn",4,0,4,0,0,0,medium,,train
Emory-LoYa-Neg-03---Gonzaga-Round-8.docx,Emory LY,Gonzaga,8,neg,Michigan CC,W,"Chen Spiers, Jared Yang Coralynn",13,0,13,1,1,613,high,,train
Emory-RuYo-Aff-3.-Gonzaga-Round-1.docx,Emory RY,Gonzaga,1,aff,Dartmouth GH - ONLINE,W,"Hatton Meyers-Levy - ONLINE, Dustin Rupp Serena",3,3,0,1,1,971,high,,train
Emory-RuYo-Aff-3.-Gonzaga-Round-3.docx,Emory RY,Gonzaga,3,aff,Minnesota HU,W,"Usenov Hirn, Kevin Rupp Serena",10,10,0,5,5,1349,high,,validation
Emory-RuYo-Aff-3.-Gonzaga-Round-5.docx,Emory RY,Gonzaga,5,aff,Wake Forest DE,L,"Elliott Martin - ONLINE, Nate Rupp Serena",10,10,0,1,1,374,high,,train
Emory-RuYo-Aff-3.-Gonzaga-Round-8.docx,Emory RY,Gonzaga,8,aff,Iowa PA - ONLINE,L,"Anderson McElligott Weideman, Joe Rupp Serena",1,1,0,0,0,0,medium,,validation
Emory-RuYo-Neg-3.-Gonzaga-Round-2.docx,Emory RY,Gonzaga,2,neg,Michigan State GS - ONLINE,L,"Shehzad Ella - ONLINE, Maeve Rupp Serena",3,0,3,0,0,0,medium,,train
Emory-RuYo-Neg-3.-Gonzaga-Round-4.docx,Emory RY,Gonzaga,4,neg,Michigan AO,L,"Ou O'Gorman - ONLINE, Danielle Rupp Serena",6,0,6,4,4,1193,high,,train
Emory-RuYo-Neg-3.-Gonzaga-Round-7.docx,Emory RY,Gonzaga,7,neg,Harvard AB,W,"Bodet Osei - ONLINE, Kwudjwa Rupp Serena",5,0,5,0,0,0,medium,,validation
Emory-StTa-Aff-Gonzaga-Round-2.docx,Emory TS,Gonzaga,2,aff,Dartmouth JR - ONLINE,L,"Rao Meyers-Levy - ONLINE, Dustin Stearns Maggie",0,0,0,0,0,0,medium,,train
Emory-StTa-Aff-Gonzaga-Round-5.docx,Emory TS,Gonzaga,5,aff,Arizona State SS,L,"Saxena Anderson - ONLINE, Ralph Stearns Maggie",2,2,0,0,0,0,medium,,test
Emory-StTa-Aff-Gonzaga-Round-8.docx,Emory TS,Gonzaga,8,aff,Georgetown LN,L,"Nanji Green, Justin Stearns Maggie",2,2,0,0,0,0,medium,,train
Emory-StTa-Neg-Gonzaga-Round-1.docx,Emory TS,Gonzaga,1,neg,Iowa PA - ONLINE,L,"Anderson McElligott Dal Pra - ONLINE, Sophia Stearns Maggie",0,0,0,0,0,0,medium,,validation
Emory-StTa-Neg-Gonzaga-Round-3.docx,Emory TS,Gonzaga,3,neg,Texas GS - ONLINE,L,"Gade Jensen - ONLINE, William Stearns Maggie",0,0,0,0,0,0,medium,,train
Emory-StTa-Neg-Gonzaga-Round-6.docx,Emory TS,Gonzaga,6,neg,Northwestern AH,W,"Hines Cavanaugh - ONLINE, Ryan Stearns Maggie",1,0,1,0,0,0,medium,,train
Emory-StTa-Neg-Gonzaga-Round-7.docx,Emory TS,Gonzaga,7,neg,UTD DD,L,"D'Antuono Rooney, David Stearns Maggie",0,0,0,0,0,0,medium,,train
Emory-WaKi-Aff-Gonzaga-University-Jesuit-Debates-Round-2.docx,Emory KW,Gonzaga,2,aff,Michigan AO,L,"Ou Repko - ONLINE, William Wang Tinghan",4,4,0,0,0,0,medium,,train
Emory-WaKi-Aff-Gonzaga-University-Jesuit-Debates-Round-4.docx,Emory KW,Gonzaga,4,aff,Michigan CS,L,"Saudek Cavanaugh - ONLINE, Ryan Wang Tinghan",4,4,0,0,0,0,medium,,train
Emory-WaKi-Aff-Gonzaga-University-Jesuit-Debates-Round-6.docx,Emory KW,Gonzaga,6,aff,Georgetown LN,L,"Nanji Meyers-Levy - ONLINE, Dustin Wang Tinghan",4,4,0,0,0,0,medium,,train
Emory-WaKi-Aff-Gonzaga-University-Jesuit-Debates-Round-8.docx,Emory KW,Gonzaga,8,aff,Michigan HM - ONLINE,L,"McIlhenny Ramsey - ONLINE, Jordan Wang Tinghan",4,4,0,0,0,0,medium,,validation
Emory-WaKi-Neg-Gonzaga-University-Jesuit-Debates-Round-1.docx,Emory KW,Gonzaga,1,neg,Kansas SS,L,"Shaw Reese - ONLINE, Thomas Wang Tinghan",0,0,0,0,0,0,medium,,train
Emory-WaKi-Neg-Gonzaga-University-Jesuit-Debates-Round-3.docx,Emory KW,Gonzaga,3,neg,Trinity CK - ONLINE,W,"Khalikov Ella - ONLINE, Maeve Wang Tinghan",0,0,0,0,0,0,medium,,validation
Emory-WaKi-Neg-Gonzaga-University-Jesuit-Debates-Round-5.docx,Emory KW,Gonzaga,5,neg,Gonzaga WR,L,"Roe Osei - ONLINE, Kwudjwa Wang Tinghan",4,0,4,0,0,0,medium,,train
Emory-WaKi-Neg-Gonzaga-University-Jesuit-Debates-Round-7.docx,Emory KW,Gonzaga,7,neg,Purdue HH - ONLINE,W,"Hansen Cooper, Deven Wang Tinghan",2,0,2,2,2,122,high,,train
GeorgeMason-WrWi-Aff-4---Gonzaga-Round-3.docx,George Mason WW,Gonzaga,3,aff,UTD PR,W,"Ravi Morbeck - ONLINE, Gabriel Wright Ashley",3,3,0,1,1,248,high,,validation
GeorgeMason-WrWi-Aff-4---Gonzaga-Round-5.docx,George Mason WW,Gonzaga,5,aff,UC Berkeley BU,W,"Boguslavsky Karthikeyan - ONLINE, Viveth Wright Ashley",2,2,0,14,14,3486,high,,train
GeorgeMason-WrWi-Aff-4---Gonzaga-Round-8.docx,George Mason WW,Gonzaga,8,aff,Baylor DL,W,"Lassen McGraw, Bennett Wright Ashley",4,4,0,9,9,2592,high,,train
GeorgeMason-WrWi-Neg-4---Gonzaga-Round-2.docx,George Mason WW,Gonzaga,2,neg,Stanford LY - ONLINE,L,"Yan Shaikh - ONLINE, Zahir Wright Ashley",9,0,9,2,2,164,high,,train
GeorgeMason-WrWi-Neg-4---Gonzaga-Round-4.docx,George Mason WW,Gonzaga,4,neg,Wyoming CH,W,"Hawley Revare, Graham Wright Ashley",6,0,6,7,7,629,high,,train
GeorgeMason-WrWi-Neg-4---Gonzaga-Round-6.docx,George Mason WW,Gonzaga,6,neg,Northwestern NP,L,"Patterson Taylor - ONLINE, Terrell Wright Ashley",5,0,5,2,2,908,high,,train
GeorgeMason-WrWi-Neg-4---Gonzaga-Round-7.docx,George Mason WW,Gonzaga,7,neg,Michigan AO,L,"Ou Navarrete - ONLINE, Manny Wright Ashley",6,0,6,19,19,3530,high,,train
Georgetown-AgCo-Aff-04---Gonzaga-Round-1.docx,Georgetown AC,Gonzaga,1,aff,Georgia CK,W,"Kaidar-Heafetz Davidson, Ari Cowan Connelly",1,1,0,0,0,0,medium,,test
Georgetown-AgCo-Aff-04---Gonzaga-Round-4.docx,Georgetown AC,Gonzaga,4,aff,Northwestern LR,L,"Rubin Fleming, Nick Cowan Connelly",4,4,0,0,0,0,medium,,train
Georgetown-AgCo-Aff-04---Gonzaga-Round-6.docx,Georgetown AC,Gonzaga,6,aff,Wake Forest AB,W,"Brown Michael, Joshua Cowan Connelly",1,1,0,0,0,0,medium,,validation
Georgetown-AgCo-Aff-04---Gonzaga-Round-8.docx,Georgetown AC,Gonzaga,8,aff,Kansas SL,L,"Larson Watson - ONLINE, Solomon Cowan Connelly",4,4,0,0,0,0,medium,,train
Georgetown-AgCo-Neg-04---Gonzaga-Round-2.docx,Georgetown AC,Gonzaga,2,neg,Southern California RB,W,"Bhadani Bricker, Brett Cowan Connelly",12,0,12,2,2,257,high,,train
Georgetown-AgCo-Neg-04---Gonzaga-Round-3.docx,Georgetown AC,Gonzaga,3,neg,Michigan SS,W,"Shih Spiers, Jared Cowan Connelly",14,0,14,2,2,1039,high,,test
Georgetown-AgCo-Neg-04---Gonzaga-Round-5.docx,Georgetown AC,Gonzaga,5,neg,Michigan CS,W,"Saudek Stannard, Matt Cowan Connelly",6,0,6,1,1,34,high,,validation
Georgetown-AgCo-Neg-04---Gonzaga-Round-7.docx,Georgetown AC,Gonzaga,7,neg,Michigan BP,W,"Park Green, Justin Cowan Connelly",13,0,13,0,0,0,medium,,train
Georgetown-LaNa-Aff-03---Gonzaga-Round-2.docx,Georgetown LN,Gonzaga,2,aff,Minnesota HU,L,"Usenov Fleming, Nick Lastelick Luke",2,2,0,0,0,0,medium,,test
Georgetown-LaNa-Aff-03---Gonzaga-Round-4.docx,Georgetown LN,Gonzaga,4,aff,Gonzaga WR,W,"Roe Davidson, Ari Lastelick Luke",1,1,0,0,0,0,medium,,validation
Georgetown-LaNa-Aff-03---Gonzaga-Round-5.docx,Georgetown LN,Gonzaga,5,aff,Kansas BW,L,"Walawender McCullough, Hunter Lastelick Luke",3,3,0,0,0,0,medium,,train
Georgetown-LaNa-Aff-03---Gonzaga-Round-7.docx,Georgetown LN,Gonzaga,7,aff,Arizona State SS,L,"Saxena Watson - ONLINE, Solomon Lastelick Luke",2,2,0,1,1,152,high,,train
Georgetown-LaNa-Neg-03---Gonzaga-Round-1.docx,Georgetown LN,Gonzaga,1,neg,Michigan CC,L,"Chen Di, Jordan Lastelick Luke",8,0,8,0,0,0,medium,,test
Georgetown-LaNa-Neg-03---Gonzaga-Round-3.docx,Georgetown LN,Gonzaga,3,neg,Southern California BM,L,"Martin Stannard, Matt Lastelick Luke",9,0,9,3,3,513,high,,test
Georgetown-LaNa-Neg-03---Gonzaga-Round-6.docx,Georgetown LN,Gonzaga,6,neg,Emory KW - ONLINE,W,"Kibe Meyers-Levy - ONLINE, Dustin Lastelick Luke",8,0,8,0,0,0,medium,,validation
Georgetown-LaNa-Neg-03---Gonzaga-Round-8.docx,Georgetown LN,Gonzaga,8,neg,Emory TS - ONLINE,W,"Tai Green, Justin Lastelick Luke",10,0,10,0,0,0,medium,,train
Georgetown-PeTa-Aff-01---Jesuit-Debates-@-Gonzaga-University-Round-1.docx,Georgetown TP,Gonzaga,1,aff,UC Berkeley BU,L,"Boguslavsky Hirn, Kevin Perez-Rubio Nora",0,0,0,0,0,0,medium,,test
Georgetown-PeTa-Aff-01---Jesuit-Debates-@-Gonzaga-University-Round-4.docx,Georgetown TP,Gonzaga,4,aff,Southern California BM,L,"Martin Fisher, Corey Perez-Rubio Nora",0,0,0,0,0,0,medium,,validation
Georgetown-PeTa-Aff-01---Jesuit-Debates-@-Gonzaga-University-Round-6.docx,Georgetown TP,Gonzaga,6,aff,Northwestern LL,L,"Lundberg Kuffour, Julian Perez-Rubio Nora",0,0,0,0,0,0,medium,,train
Georgetown-PeTa-Aff-01---Jesuit-Debates-@-Gonzaga-University-Round-8.docx,Georgetown TP,Gonzaga,8,aff,Harvard AB,L,"Bodet Brough, Taylor Perez-Rubio Nora",0,0,0,0,0,0,medium,,validation
Georgia-KaCh-Aff-3---Gonzaga-Round-2.docx,Georgia CK,Gonzaga,2,aff,Northwestern HP,W,"Peltier Phillips - ONLINE, Scott Kaidar-Heafetz Eshkar",0,0,0,0,0,0,medium,,validation
Georgia-KaCh-Neg-3---Gonzaga-Round-1.docx,Georgia CK,Gonzaga,1,neg,Georgetown AC,L,"Cowan Davidson, Ari Kaidar-Heafetz Eshkar",2,0,2,1,1,52,high,,train
Georgia-KaCh-Neg-3---Gonzaga-Round-3.docx,Georgia CK,Gonzaga,3,neg,Iowa BS - ONLINE,L,"Sanderson Reza Husain - ONLINE, Irshad Kaidar-Heafetz Eshkar",0,0,0,0,0,0,medium,,train
Georgia-KaCh-Neg-3---Gonzaga-Round-6.docx,Georgia CK,Gonzaga,6,neg,Kansas BM,W,"McConnell Zaidi, Kumail Kaidar-Heafetz Eshkar",0,0,0,0,0,0,medium,,train
Georgia-KaCh-Neg-3---Gonzaga-Round-8.docx,Georgia CK,Gonzaga,8,neg,Emory CR - ONLINE,W,"Charabuddi Rooney, David Kaidar-Heafetz Eshkar",2,0,2,1,1,61,high,,train
Gonzaga-WeRo-Aff-Gonzaga!-Round-1.docx,Gonzaga WR,Gonzaga,1,aff,Iowa SK - ONLINE,L,"Kleiman Reza Husain - ONLINE, Irshad Wellman Kaelyn",3,3,0,0,0,0,medium,,test
Gonzaga-WeRo-Neg-Gonzaga!-Round-2.docx,Gonzaga WR,Gonzaga,2,neg,Michigan BP,L,"Park Symonds, Adam Wellman Kaelyn",2,0,2,1,1,599,high,,validation
Gonzaga-WeRo-Neg-Gonzaga!-Round-4.docx,Gonzaga WR,Gonzaga,4,neg,Georgetown LN,L,"Nanji Davidson, Ari Wellman Kaelyn",3,0,3,6,6,1554,high,,train
Gonzaga-WeRo-Neg-Gonzaga!-Round-6.docx,Gonzaga WR,Gonzaga,6,neg,Iowa BS - ONLINE,W,"Sanderson Schultz - ONLINE, Jim Wellman Kaelyn",0,0,0,0,0,0,medium,,validation
